,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPX,.SPX,.SPX,.SPX,.SPX
,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS
Date,,,,,,,,,,
2018-02-28,5040.0552,5308.0869,5508.7002,5508.7002,,,,,,
2018-03-31,5069.0269,5173.1909,5454.0254,5238.1831,,,,,,
2018-04-30,5057.689,5193.041,5310.3213,5057.689,,,,,,
2018-05-31,5157.6978,5318.0996,5369.9893,5206.3052,,,,,,
2018-06-30,5312.8916,5350.832,5481.0688,5376.292,,,,,,
2018-07-31,5340.9341,5549.9556,5607.9932,5367.4907,,,,,,
2018-08-31,5544.1943,5730.8027,5753.9976,5544.1943,,,,,,
2018-09-30,5674.5806,5763.4224,5794.7222,5721.856,,,,,,
2018-10-31,5229.2773,5369.4912,5786.479,5784.4517,,,,,,
2018-11-30,5222.4258,5478.9131,5573.0591,5426.3267,,,,,,
2018-12-31,4672.6602,4984.2173,5538.8569,5538.8569,,,,,,
2019-01-31,4868.2959,5383.6318,5383.6318,4990.5562,,,,,,
2019-02-28,5389.1938,5556.4904,5577.0853,5389.1938,,,,,,
2019-03-31,5476.3858,5664.4627,5703.2781,5595.1129,,,,,,
2019-04-30,5730.0414,5893.8148,5893.8148,5730.0414,,,,,,
2019-05-31,5519.2736,5519.2736,5894.3025,5849.6526,,,,,,
2019-06-30,5504.0518,5908.2515,5931.66,5504.0518,,,,,,
2019-07-31,5953.6268,5993.1655,6083.8226,5953.6268,,,,,,
2019-08-31,5719.3047,5898.2319,5939.8325,5939.8325,,,,,,
2019-09-30,5857.9511,6008.5904,6070.2281,5857.9511,,,,,,
2019-10-31,5828.9342,6138.7348,6156.9344,5935.1978,,,,,,
2019-11-30,6198.5908,6361.564,6385.7647,6198.5908,,,,,,
2019-12-31,6265.2153,6553.5688,6571.0339,6306.8768,,,,,,
2020-01-31,6550.9993,6550.9993,6759.5101,6609.2876,,,,,,
2020-02-29,6011.7264,6011.7264,6886.4739,6598.6265,,,,,,
2020-03-31,4559.5049,5269.2009,6370.3545,6288.6436,,,,,,
2020-04-30,5036.6423,5944.6795,5999.7371,5036.6423,,,,,,
2020-05-31,5761.6965,6227.8131,6227.8131,5778.5256,,,,,,
2020-06-30,6145.3024,6351.6669,6615.4037,6251.4764,,,,,,
2020-07-31,6383.7627,6709.8065,6717.2858,6383.7627,,,,,,
2020-08-31,6758.1994,7192.1109,7207.0978,6758.1994,,,,,,
2020-09-30,6657.8159,6918.8347,7358.4851,7246.3746,,,,,,
2020-10-31,6734.8366,6734.8366,7275.4306,6956.1953,,,,,,
2020-11-30,6817.8906,7472.0585,7505.3792,6817.8906,,,,,,
2020-12-31,7530.8655,7759.3455,7759.3455,7556.5149,,,,,,
2021-01-31,7645.2691,7681.0087,7970.9216,7645.2691,,,,,,
2021-02-28,7804.3119,7892.8119,8142.7881,7804.3119,,,,,,
2021-03-31,7806.4528,8238.4829,8240.3815,8080.7809,,,,,,
2021-04-30,8335.9091,8678.1605,8740.3485,8335.9091,,,,,,
2021-05-31,8437.2353,8738.7721,8787.8151,8702.025,,,,,,
2021-06-30,8667.7629,8942.7769,8942.7769,8734.7439,,,,,,
2021-07-31,8867.0661,9155.2117,9209.6324,8990.0795,,,,,,
2021-08-31,9138.3598,9433.5819,9445.2436,9138.3598,,,,,,
2021-09-30,8994.8281,8994.8281,9465.4667,9437.1547,,,,,,
2021-10-31,8980.6367,9625.0219,9625.0219,9098.2515,,,,,,
2021-11-30,9558.3305,9558.3305,9842.3462,9642.4449,,,,,,
2021-12-31,9446.2054,9986.6979,10041.611,9446.2054,,,,,,
2022-01-31,9072.2424,9469.9159,10050.4083,10050.4083,,,,,,
2022-02-28,8871.9528,9186.3728,9624.8923,9534.9547,,,,,,
2022-03-31,8762.1121,9527.4585,9738.5953,9044.471,,,,,,
2022-04-30,8696.6467,8696.6467,9637.3672,9559.9539,,,,,,
2022-05-31,8220.9666,8712.6017,9050.9041,8746.0534,,,,,,
2022-06-30,7739.3885,7993.4308,8809.1792,8648.2842,,,,,,
2022-07-31,8008.7134,8730.4607,8730.4607,8077.8919,,,,,,
2022-08-31,8374.4161,8374.4161,9107.8669,8705.8739,,,,,,
2022-09-30,7603.1439,7603.1439,8708.1728,8400.9598,,,,,,
2022-10-31,7588.9008,8218.7047,8280.1063,7799.9985,,,,,,
2022-11-30,7897.0078,8677.999,8677.999,8185.0734,,,,,,
2022-12-31,8056.6184,8178.0205,8671.9042,8671.9042,,,,,,
2023-01-31,8113.1474,8691.8776,8691.8776,8145.604,,,,,,
2023-02-28,8477.6594,8479.8049,8912.3527,8782.7718,,,,,,
2023-03-31,8241.3879,8791.1344,8791.1344,8440.2455,,,,,,
2023-04-30,8684.1907,8928.3504,8928.3504,8823.6554,,,,,,
2023-05-31,8697.6755,8967.1589,9020.3921,8924.9189,,,,,,
2023-06-30,9057.1745,9559.6664,9559.6664,9057.1745,,,,,,
2023-07-31,9453.1016,9866.7702,9866.7702,9571.3476,,,,,,
2023-08-31,9406.4965,9709.6761,9840.7117,9840.7117,,,,,,
2023-09-30,9213.7216,9246.7391,9727.644,9727.644,,,,,,
2023-10-31,8885.9408,9052.3122,9443.1296,9247.5148,,,,,,
2023-11-30,9147.447,9879.0182,9879.0182,9147.447,,,,,,
2023-12-31,9840.645,10327.8281,10356.593,9937.8887,,,,,,
2024-01-31,10154.1953,10501.3797,10678.5031,10269.6897,,,,,,
2024-02-29,10633.1404,11062.1072,11062.1072,10633.1404,,,,,,
2024-03-31,11025.1569,11418.026,11418.026,11151.3447,,,,,,
2024-04-30,10801.1607,10951.6618,11395.0782,11395.0782,,,,,,
2024-05-31,10914.1083,11494.6964,11587.0528,10914.1083,,,,,,
2024-06-30,11508.8868,11907.1502,11961.9311,11508.8868,,,,,,
2024-07-31,11781.5696,12052.0885,12364.5551,11939.3802,,,,,,
2024-08-31,11319.9614,12344.4324,12344.4324,11887.5431,,,,,,
2024-09-30,11823.5704,12608.0737,12608.0737,12084.5653,,,,,,
2024-10-31,12466.4101,12493.7364,12840.3002,12490.8717,,,,,,
2024-11-30,12510.7345,13227.133,13227.133,12545.4019,,,,,,
2024-12-31,12875.0873,12911.8218,13358.4953,13261.0751,,,,,,
2025-01-31,12797.3919,13271.3825,13440.6089,12883.5784,,,,,,
2025-02-28,12892.1991,13098.2159,13510.2891,13171.2107,,,,,,
2025-03-31,12153.3307,12360.2065,12868.9537,12868.9537,,,,,,
2025-04-30,10977.5005,12276.3927,12491.0955,12407.2552,,,,,,
2025-05-31,12353.8741,13049.1267,13159.3092,12353.8741,,,,,,
2025-06-30,13104.2442,13712.7093,13712.7093,13104.2442,,,,,,
2025-07-31,13697.681,14020.4634,14130.6053,13697.681,,,,,,
2025-08-31,13796.8293,14304.6793,14395.5081,13796.8293,,,,,,
2025-09-30,14208.4968,14826.8015,14836.2656,14208.4968,,,,,,
2025-10-31,14531.4118,15173.9504,15285.1049,14877.9582,,,,,,
2025-11-30,14518.9522,15211.1418,15211.1418,15201.0001,,,,,,
2025-12-31,14940.006,15220.4546,15409.7015,15131.9997,,,,,,
2026-01-31,15121.5191,15441.1537,15527.8214,15252.8221,,,,,,
2026-02-28,15129.2313,15323.8034,15525.1094,15525.1094,,,,,,
2026-03-31,14147.3118,14560.7523,15331.1757,15331.1757,,,,,,
2026-04-30,14665.6821,16088.5618,16088.5618,14665.6821,,,,,,
2026-05-31,16071.4379,16935.3453,16935.3453,16136.0341,,,,,,
2026-06-30,16244.6475,16774.0708,17003.569,16981.1042,,,,,,
2026-07-31,16373.8137,16763.4246,16949.5501,16738.5603,,,,,,
2026-08-31,17012.3849,17319.0196,17460.7618,17012.3849,,,,,,
