,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPX,.SPX,.SPX,.SPX,.SPX
,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS
Date,,,,,,,,,,
1991-12-31,433.2224,479.6332,479.6332,437.6725,,,,,,
1992-01-31,470.6952,470.6952,484.1983,479.839,,,,,,
1992-02-29,470.317,476.7912,481.349,471.6751,,,,,,
1992-03-31,466.7007,467.5183,477.2835,476.6618,,,,,,
1992-04-30,457.1601,481.2451,482.4978,468.1599,,,,,,
1992-05-31,476.9393,483.6041,486.3529,478.4454,,,,,,
1992-06-30,467.591,476.4094,486.0375,486.0375,,,,,,
1992-07-31,477.8738,495.8717,495.8717,481.9504,,,,,,
1992-08-31,481.486,485.7234,497.0476,497.0476,,,,,,
1992-09-30,486.4623,491.4308,499.6144,488.2292,,,,,,
1992-10-31,473.9434,493.1286,495.6892,489.663,,,,,,
1992-11-30,491.6958,509.92,509.92,498.0825,,,,,,
1992-12-31,508.4349,516.1779,522.3806,509.4164,,,,,,
1993-01-31,508.6048,520.4936,521.8743,515.9991,,,,,,
1993-02-28,513.5882,527.5875,533.8879,525.0321,,,,,,
1993-03-31,526.0656,538.7192,543.732,526.0656,,,,,,
1993-04-30,517.6839,525.6977,537.0864,537.0864,,,,,,
1993-05-31,525.6831,539.7605,543.5401,528.5496,,,,,,
1993-06-30,532.1443,541.3413,544.4065,544.2003,,,,,,
1993-07-31,530.7439,539.1638,541.6952,539.557,,,,,,
1993-08-31,539.6464,559.6213,559.6213,541.7542,,,,,,
1993-09-30,547.7006,555.3296,559.1988,559.1988,,,,,,
1993-10-31,555.9682,566.817,568.5715,558.2397,,,,,,
1993-11-30,554.8244,561.4145,568.4865,568.4865,,,,,,
1993-12-31,561.5823,568.2021,573.6017,561.5823,,,,,,
1994-01-31,567.0948,587.5194,587.5194,567.0948,,,,,,
1994-02-28,567.9139,571.5728,588.1936,585.265,,,,,,
1994-03-31,546.3584,546.654,577.2266,568.3267,,,,,,
1994-04-30,538.3739,553.664,555.7684,538.3739,,,,,,
1994-05-31,543.2007,562.7504,563.7612,556.4365,,,,,,
1994-06-30,546.8494,548.9561,570.6759,564.1877,,,,,,
1994-07-31,551.4657,566.9824,566.9824,551.4657,,,,,,
1994-08-31,566.0686,590.2284,590.9272,570.537,,,,,,
1994-09-30,571.5298,575.7949,590.084,587.4466,,,,,,
1994-10-31,563.2785,588.7309,590.3758,574.8168,,,,,,
1994-11-30,562.2287,567.2901,583.9809,583.9809,,,,,,
1994-12-31,557.325,575.7049,579.532,561.4282,,,,,,
1995-01-31,575.5206,590.635,590.635,575.5206,,,,,,
1995-02-28,590.6463,613.6526,614.4031,590.6463,,,,,,
1995-03-31,607.4803,631.7603,635.7181,611.6381,,,,,,
1995-04-30,633.3248,650.3635,650.3635,633.3248,,,,,,
1995-05-31,649.9516,676.3567,676.3567,649.9516,,,,,,
1995-06-30,669.7999,692.0668,699.6336,676.5305,,,,,,
1995-07-31,695.079,715.0175,718.9544,695.079,,,,,,
1995-08-31,707.138,716.8153,716.8153,711.9466,,,,,,
1995-09-30,719.3374,747.0665,749.6552,719.3374,,,,,,
1995-10-31,738.107,744.3961,755.8323,743.647,,,,,,
1995-11-30,748.0099,777.074,779.9789,748.0099,,,,,,
1995-12-31,778.6935,792.0419,798.7597,779.1535,,,,,,
1996-01-31,770.1103,819.0001,819.0001,798.2157,,,,,,
1996-02-29,818.9712,826.5934,852.4702,822.2979,,,,,,
1996-03-31,818.1895,834.5496,846.6637,831.6968,,,,,,
1996-04-30,816.6999,846.854,848.2051,845.1977,,,,,,
1996-05-31,826.6265,868.6938,880.4622,847.4909,,,,,,
1996-06-30,860.3964,872.0078,881.0901,866.8321,,,,,,
1996-07-31,815.7669,833.4823,878.9721,878.9721,,,,,,
1996-08-31,846.767,851.064,875.0097,846.767,,,,,,
1996-09-30,848.1525,898.966,898.966,854.6302,,,,,,
1996-10-31,901.285,923.7602,930.5446,901.285,,,,,,
1996-11-30,921.9134,993.5844,993.5844,921.9134,,,,,,
1996-12-31,947.2292,973.8967,994.8512,992.9991,,,,,,
1997-01-31,969.0465,1034.7413,1034.7413,969.0465,,,,,,
1997-02-28,1024.719,1042.851,1075.8162,1035.5903,,,,,,
1997-03-31,1000.0021,1000.0021,1073.6378,1048.7839,,,,,,
1997-04-30,974.9384,1059.7007,1059.7007,1003.3331,,,,,,
1997-05-31,1056.1302,1124.219,1125.7203,1056.1302,,,,,,
